"last","first","middle","TITLE","ORCID"
"Kácha","Ondřej",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Arvanitis","Alexios",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Xiao","Qinyu",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Cárcamo","Rodrigo",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Zorjan","Saša",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Tajchman","Zuzanna",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Vilares","Iris",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Pavlacic","Jeffrey","M.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Kunst","Jonas","R.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"von Bastian","Claudia","C.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Atari","Mohammad",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Hricova","Monika",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Schrötter","Jana",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Rahal","Rima-Maria",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Cohen","Noga",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"FatahModarres","Saiedeh",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Zrimsek","Miha",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Esteban-Serna","Celia",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Calin-Jageman","Robert","J.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Krafnick","Anthony","J.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Štrukelj","Eva",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Urban","Jan",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Silva","Jaime","R.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Očovaj","Sanja","Batić","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Šakan","Dušana",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Kuzminska","Anna","O.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Djordjevic","Jasna","Milosevic","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Almeida","Inês","A. T.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ferreira","Ana",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Lazarevic","Ljiljana","B.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ricaurte","Danilo","Zambrano","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Monteiro","Renan","P.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Etabari","Zahra",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Dunleavy","Daniel",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Chou","Weilun",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Godbersen","Hendrik",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ruiz-Fernández","Susana",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Reeck","Crystal",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Kirgizova","Komila",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Muminov","Abdumalik",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Azevedo","Flavio",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Alvarez","Daniela","Serrato","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Butt","Muhammad","Mussaffa","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Lee","Jeong","Min","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Chen","Zhang",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Verbruggen","Frederick",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ziano","Ignazio",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Tümer","Murat",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Charyate","Abdelilah","C. A.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Dubrov","Dmitrii",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Tejada Rivera","María","del Carmen M. C.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Aberson","Christopher",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Pálfi","Bence",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Maldonado","Mónica","Alarcón","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Hubena","Barbora",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Sacakli","Asli",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ceary","Chris","D.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Richard","Karley","L.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Singer","Gage",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Perillo","Jennifer","T.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ballantyne","Tonia",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Cyrus-Lai","Wilson",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Fedotov","Maksim",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Du","Hongfei",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Wielgus","Magdalena",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Pit","Ilse","L.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Hruška","Matej",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Sousa","Daniela",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Micheli","Leticia",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Schmidt","Nadya-Daniela",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Zsido","Andras","N.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Paruzel-Czachura","Mariola",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Bialek","Michal",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Kowal","Marta",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Sorokowska","Agnieszka",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Misiak","Michal",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Mola","Débora",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ortiz","María","Victoria","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Correa","Pablo","Sebastián","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Belaus","Anabel",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Muchembled","Fany",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ribeiro","Rafael","R.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Arriaga","Patricia",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Oliveira","Raquel",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Szwed","Paulina",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Kossowska","Małgorzata",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Czarnek","Gabriela",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Kielińska","Julita",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Antazo","Benedict",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Betlehem","Ruben",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Simonovic","Nicolle",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Taber","Jennifer",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Gourdon-Kanhukamwe","Amélie",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Domurat","Artur",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ihaya","Keiko",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Urooj","Anum",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Čadek","Martin",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Bylinina","Lisa",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Messerschmidt","Johanna",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Kurfalı","Murathan",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Adetula","Adeyemi",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Baklanova","Ekaterina",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Albayrak-Aydemir","Nihan",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Kappes","Heather","B.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Gjoneska","Biljana",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"House","Thea",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Jones","Marc","V.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Berkessel","Jana","B.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Çoksan","Sami",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Khaoudi","Ahmed",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Bokkour","Ahmed",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"El Arabi","Kanza","Ait","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Djamai","Ikhlas",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Iyer","Aishwarya",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Parashar","Neha",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Adiguzel","Arca",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Kocalar","Halil","Emre","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Bundt","Carsten",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Norton","James","O.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"De la Rosa-Gomez","Anabel",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ankushev","Vladislav",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Bogatyreva","Natalia",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Grigoryev","Dmitry",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ivanov","Aleksandr",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Prusova","Irina",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Romanova","Marina",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Sarieva","Irena",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Terskova","Maria",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Hristova","Evgeniya",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Kadreva","Veselina","Hristova","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Janak","Allison",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Askelund","Adrian","Dahl","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Pineda","Lina","Maria Sanabria","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Krupić","Dajana",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Johannes","Niklas",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ouherrou","Nihal",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Say","Nicolas",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Sinkolova","Sladjana",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Janjić","Kristina",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Stojanovska","Marija",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Stojanovska","Dragana",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Khosla","Meetu",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Thomas","Andrew","G.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Kung","Franki","Y. H.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Bijlstra","Gijsbert",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Mosannenzadeh","Farnaz",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Balci","Busra","Bahar","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Reips","Ulf-Dietrich",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ishkhanyan","Byurakn",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Czamanski-Cohen","Johanna",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Moreau","David",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Sutherland","Clare","A. M.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Chuan-Peng","Hu",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Noone","Chris",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Topor","Marta",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Majeed","Nadyanna","M.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Kunisato","Yoshihiko",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Yu","Karen",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Daches","Shimrit",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Hartanto","Andree",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Vdovic","Milica",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Anton-Boicuk","Lisa",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Forbes","Paul","A. G.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Kamburidis","Julia",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Marinova","Evelina",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Nedelcheva-Datsova","Mina",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Rachev","Nikolay","R.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Stoyanova","Alina",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Koptjevskaja-Tamm","Maria",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Bialobrzeska","Olga",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Marszalek","Magdalena",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Tatachari","Srinivasan",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Afhami","Reza",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Law","Wilbert",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Žuro","Barbara",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Van Doren","Natalia",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Soto","Jose","A.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Searston","Rachel",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Miranda","Jacob",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Damnjanović","Kaja",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Yeung","Siu","Kit","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Krupić","Dino",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Klevjer","Kristoffer",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Frias-Armenta","Martha",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Lucas","Marc","Y.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Torres","Adriana","Olaya","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Toro","Mónica",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Delgado","Lady","Grey Javela","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Vega","Diego",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Solas","Sara","Álvarez","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Vilar","Roosevelt",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Massoni","Sébastien",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Frizzo","Thomas",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Bran","Alexandre",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Vaidis","David","C.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Vieira","Luc",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Paris","Bastien",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Capizzi","Mariagrazia",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Coelho","Gabriel","Lins de Holanda","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Greenburgh","Anna",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Whitt","Cassie","M.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Tullett","Alexa","M.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Du","Xinkai",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Volz","Leonhard",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Bosma","Minke","Jasmijn","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Karaarslan","Cemre",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Sarıoğuz","Eylül",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Allred","Tara","Bulut","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Korbmacher","Max",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ribeiro","Matheus","Fernando Felix","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Verharen","Jeroen","P. H.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Karekla","Maria",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Karashiali","Christiana",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Sunami","Naoyuki",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Jaremka","Lisa","M.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Habib","Sumaiya",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Studzinska","Anna",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Hanel","Paul","H. P.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Holford","Dawn","Liu","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Wolfe","Kelly",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Chiu","Faith",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Theodoropoulou","Andriana",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ahn","El","Rim","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Lin","Yijun",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Westgate","Erin","C.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Brohmer","Hilmar",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Hofer","Gabriela",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Dujols","Olivier",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Feldman","Gilad",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Travaglino","Giovanni","A.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ahmed","Afroja",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Li","Manyu",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Bosch","Jasmijn",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Torunsky","Nathan",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Bai","Hui",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Manavalan","Mathi",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Song","Xin",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Walczak","Radoslaw","B.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Zdybek","Przemysław",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Friedemann","Maja",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Alves","Sara","G.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Correia","Rita","C.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Babinčák","Peter",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Banik","Gabriel",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Rojas-Berscia","Luis","Miguel","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Uttley","Jim",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Beshears","Julie","E.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Thommesen","Katrine","Krabbe","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Behzadnia","Behzad",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Geniole","Shawn","N.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Silan","Miguel","A.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Maturan","Princess","Lovella G.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Vilsmeier","Johannes","K.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Izquierdo","Sara","Morales","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Mensink","Michael","C.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Sorokowski","Piotr",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Groyecka-Bernard","Agata",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Radtke","Theda",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Adoric","Vera","Cubela","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Carpentier","Joelle",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Hedgebeth","Mattie","V.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ishii","Tatsunori",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Röer","Jan","Philipp","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Ostermann","Thomas",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Suter","Lilian",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Papachristopoulos","Konstantinos",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Zabel","Chelsea",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Mallik","Peter","R.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Buchanan","Erin","M.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Primbs","Maximilian","A.","a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Moshontz","Hannah",NA,"a multicountry test of brief reappraisal interventions on emotions during the covid19 pandemic",NA
"Van Bavel","Jay","J.","national identity predicts public health support during a global pandemic",NA
"Cichocka","Aleksandra",NA,"national identity predicts public health support during a global pandemic",NA
"Capraro","Valerio",NA,"national identity predicts public health support during a global pandemic",NA
"Sjåstad","Hallgeir",NA,"national identity predicts public health support during a global pandemic",NA
"Nezlek","John","B.","national identity predicts public health support during a global pandemic",NA
