"title","author","journal","number","cites","year","cid","pubid","scholar"
"building trust in science by advancing a bayesian perspective on probability and uncertainty in science education","J Rosenberg, M Kubsch, EJ Wagenmakers","OSF Preprints","",1,2021,"3639100421164642865","7VEv-pLvLSsC","L_HG640AAAAJ"
"are dishonest politicians more likely to be reelected  a bayesian view","B Verschuere, M De Schryver, D van den Bergh, EJ Wagenmakers, ...","Proceedings of the National Academy of Sciences","118 (6)",1,2021,"10390416140003201630","EBV337fEn3EC","L_HG640AAAAJ"
"defiant denial is self defeating","EJ Wagenmakers","Psychological Inquiry","32 (1), 12-16",1,2021,"9321145726287652598","hHIA4WEVY-EC","L_HG640AAAAJ"
"visual motion and decision making in dyslexia  evidence of reduced accumulation of sensory evidence and related neural dynamics","C Manning, CD Hassall, TH Laurence, AM Norcia, EJ Wagenmakers, ...","medRxiv","",1,2021,"344336512038204842","Nw_I7GeUguwC","L_HG640AAAAJ"
"cultural consensus theory for the evaluation of patients  mental health scores in forensic psychiatric hospitals","D van den Bergh, S Bogaerts, M Spreen, R Flohr, J Vandekerckhove, ...","Journal of Mathematical Psychology","98, 102383",1,2020,"17381634168169445936","xyvS_IvSCKsC","L_HG640AAAAJ"
"absence of evidence and evidence of absence in the flash trial  a bayesian reanalysis","EJ Wagenmakers, QF Gronau","PsyArXiv","",1,2020,"17836086557265663197","natZJ_-F0IUC","L_HG640AAAAJ"
"laypeople can predict which social science studies replicate","S Hoogeveen, A Sarafoglou, EJ Wagenmakers","PsyArXiv","",1,2019,"7616304077518358266","zdX0sdgBH_kC","L_HG640AAAAJ"
"progesterone in women with bleeding in early pregnancy  absence of evidence  not evidence of absence","QF Gronau, E Wagenmakers","","",1,2019,"12317613248583535525","wLxue7F8ec0C","L_HG640AAAAJ"
"many perspectives on deborah mayo s  statistical inference as severe testing  how to get beyond the statistics wars ","A Gelman, B Haig, C Hennig, A Owen, R Cousins, S Young, C Robert, ...","arXiv preprint arXiv:",":1905.08876",1,2019,"2129372565865894280","QVtou7C4vgoC","L_HG640AAAAJ"
"reader response  evaluating depression and suicidality in tetrabenazine users with huntington disease","C Sampaio, JJ Ware, M Macleod, EJ Wagenmakers, M Munafò","Neurology","92 (9), 447-448",1,2019,"4004705834130080528","tHtfpZlB6tUC","L_HG640AAAAJ"
"the effect of preregistration on trust in empirical research findings  a registered report proposal","SM Field, EJ Wagenmakers, HAL Kiers, R Hoekstra, A Ernst, ...","PsyArXiv Preprint https://doi. org/","/10.31234/osf. io/8sqf5",1,2018,"1228599745674044772","60iIaj97TE0C","L_HG640AAAAJ"
"de bayesiaanse leercyclus","EJ Wagenmakers, QF Gronau","STAtOR","20 (4), 8-13",1,2018,"848407982870524086","z8nqeaKD1nsC","L_HG640AAAAJ"
"package  bridgesampling ","QF Gronau, H Singmann, JJ Forster, EJ Wagenmakers, J Guo, J Gabry, ...","","",1,2017,"3865745989982808106","rCNdntzdTkkC","L_HG640AAAAJ"
"corrigendum to  a purely confirmatory replication study of structural brain behavior correlations  cortex 66  2015  115 133  ","MC Keuken, A Ly, W Boekel, EJ Wagenmakers, L Belay, J Verhagen, ...","Cortex; a Journal Devoted to the Study of the Nervous System and Behavior","93 …",1,2017,"8094107476104892527","TesyEGJKHF4C","L_HG640AAAAJ"
"cs peirce on the crisis of confidence and the  no more bets  heuristic","J Vandekerckhove, EJ Wagenmakers","The Winnower","3 (e146611. 14253)",1,2016,"1614855008105499698","2vr6o8x5NLkC","L_HG640AAAAJ"
"paradoxes of optimal decision making  a response to moran  2014 ","D Van Ravenzwaaij, MJ Mulder, F Tuerlinckx, EJ Wagenmakers","Psychonomic bulletin & review","22 (1), 307-308",1,2015,"2481375479786093313","S16KYo8Pm5AC","L_HG640AAAAJ"
"results from a confirmatory replication study of bem  2011   precognitive detection of erotic stimuli ","EJ Wagenmakers, R Wetzels, HL Denny Borsboom, J van der Maas, ...","Tableaux","",1,2012,"5045966386963352172","Mojj43d5GZwC","L_HG640AAAAJ"
"exemplary introduction to bayesian statistical inference  review of  i  ntzoufras  2009  bayesian modeling using winbugs ","R Wetzels, EJ Wagenmakers","Journal of Mathematical Psychology","54",1,2010,"14980951861517036377","9Nmd_mFXekcC","L_HG640AAAAJ"
"how do individuals reason in the wason card selection task ","EJ Wagenmakers","Behavioral and Brain Sciences","32 (1), 104-104",1,2009,"17633599298545144057","WbkHhVStYXYC","L_HG640AAAAJ"
"a general computational method for estimating bayes factors","T Lodewyckx, MD Lee, EJ Wagenmakers","Manuscript submitted for publication","",1,2009,"12151060920199567926","RYcK_YlVTxYC","L_HG640AAAAJ"
"damasio s error  de somatic marker hypothese onder vuur","EJ Wagenmakers, S Nieuwenhuis","Neuropraxis","9 (6), 159-163",1,2005,"7305385199287922272","yD5IFk8b50cC","L_HG640AAAAJ"
"priming in visual word recognition  empirical studies and computational models","EJ Wagenmakers","Universiteit van Amsterdam [Host]","",1,2001,"16255471107426990151","vV6vV6tmYwMC","L_HG640AAAAJ"
"a bayesian model for the time course of lexical processing","M Steyvers, EJ Wagenmakers, R Shiffrin, R Zeelenberg, J Raaijmakers","Proceedings of the fourth international conference of computational modeling","",1,2001,"7885090147557053343","RGFaLdJalmkC","L_HG640AAAAJ"
"ez2  an extension of the ez diffusion model","RPPP Grasman, EJ Wagenmakers, HLJ van der Maas","","",1,NA,"3378820142732936604","zA6iFVUQeVQC","L_HG640AAAAJ"
"an impartial bayesian hypothesis test for audit sampling","K Derks, EJ Wagenmakers","PsyArXiv","",0,2022,NA,"ybfzIt2tCtgC","L_HG640AAAAJ"
"a two stage bayesian sequential assessment of exploratory hypotheses","A Stefan, L Lengersdorff, EJ Wagenmakers","PsyArXiv","",0,2022,NA,"8p8iYwVyaVcC","L_HG640AAAAJ"
"publication bias in research on construal level theory","M Maier, F Bartoš, M Oh, EJ Wagenmakers, D Shanks, A Harris","PsyArXiv","",0,2022,NA,"v_xunPV0uK0C","L_HG640AAAAJ"
"fast and accurate approximation to informed bayes factors for focal parameters","F Bartoš, EJ Wagenmakers","arXiv preprint arXiv:",":2203.01435",0,2022,NA,"SWgZeABleR0C","L_HG640AAAAJ"
"a bayesian perspective on biogen s aducanumab trial","AGM Temp, A Ly, J van Doorn, EJ Wagenmakers, Y Tang, MW Lutz, ...","Alzheimer's & Dementia","",0,2022,NA,"ufKn5pxu7C0C","L_HG640AAAAJ"
"adjusting for publication bias reveals mixed evidence for the impact of cash transfers on subjective well being and mental health","F Bartoš, M Maier, TD Stanley, EJ Wagenmakers","PsyArXiv","",0,2022,NA,"yZoBfgUKqwcC","L_HG640AAAAJ"
"evidence of absence in the d health trial  a bayesian reanalysis","EJ Wagenmakers, QF Gronau","PsyArXiv","",0,2022,NA,"j8pvxH-kN2QC","L_HG640AAAAJ"
"a bayesian analysis of the molnupiravir trial data","EJ Wagenmakers, QF Gronau","PsyArXiv","",0,2021,NA,"5LPo_wSKItgC","L_HG640AAAAJ"
"a tutorial on bayesian model averaged meta analysis in jasp","SW Berkhout, JM Haaf, QF Gronau, DW Heck, EJ Wagenmakers","PsyArXiv","",0,2021,NA,"i91s68tWr-MC","L_HG640AAAAJ"
"贝叶斯思维儿童读本","E Wagenmakers","","",0,2021,NA,"VnuxuLaQPLMC","L_HG640AAAAJ"
"bernoulli s fallacy","EJ Wagenmakers","CHANCE","34 (4), 37-38",0,2021,NA,"3BvdIg-l-ZAC","L_HG640AAAAJ"
"a diffusion model decomposition of motion processing performance in children with dyslexia and related neural dynamics","C Manning, CD Hassall, LT Hunt, AM Norcia, EJ Wagenmakers, ...","Journal of Vision","21 (9), 2921-2921",0,2021,NA,"1EqfMoDn7-AC","L_HG640AAAAJ"
"computing and using inclusion bayes factors for mixed fixed and random effect diffusion decision models","U Boehm, NJ Evans, QF Gronau, D Matzke, EJ Wagenmakers, ...","PsyArXiv","",0,2021,NA,"cSdaV2aYdYsC","L_HG640AAAAJ"
"dinozorlar  kurabiyeler ve bayesçi düşünce","E Wagenmakers","","",0,2021,NA,"hfzGNhXhx5MC","L_HG640AAAAJ"
"guidance for conducting and reporting multi analyst studies","B Aczel, B Szaszi, G Nilsonne, O Van den Akker, C Albers, ...","MetaArXiv","",0,2021,NA,"hefNtdE4IMkC","L_HG640AAAAJ"
"beyond point estimates for cronbach s alpha  a tutorial on bayesian single test reliability analysis with jasp","JM Pfadt, D van den Bergh, K Sijtsma, EJ Wagenmakers","PsyArXiv","",0,2021,NA,"c1AJUTjuCtUC","L_HG640AAAAJ"
"a bayesian analysis of the molnupiravir trial data  preprint ","EJ Wagenmakers, QF Gronau","","",0,2021,NA,"adHtZc2wMuEC","L_HG640AAAAJ"
"a generalization of the savage dickey density ratio for equality and order constrained testing","J Mulder, EJ Wagenmakers, M Marsman","The American Statistician","",0,2021,NA,"i_7YvbSbtFEC","L_HG640AAAAJ"
"preprint  decisions about equivalence  a comparison of tost  hdi rope  and the bayes factor","M Linde, J Tendeiro, R Selker, EJ Wagenmakers, D van Ravenzwaaij","","",0,2020,NA,"It0W0vAlS5QC","L_HG640AAAAJ"
"bayesianisches denken mit dinosauriern","E Wagenmakers","","",0,2020,NA,"qsWQJNntlusC","L_HG640AAAAJ"
"overwhelming evidence for vaccine efficacy in the pfizer trial  an interim bayesian analysis","EJ Wagenmakers, QF Gronau","PsyArXiv","",0,2020,NA,"SpPTWFSNUtQC","L_HG640AAAAJ"
"bayesiaans denken voor peuters","E Wagenmakers","","",0,2020,NA,"txeM2kYbVNMC","L_HG640AAAAJ"
"slides  preregistration standards for psychology","PT Force, EJ Wagenmakers, S Vazire","Preregistration Standards for Psychology","2020, webinar",0,2020,NA,"oursBaop5wYC","L_HG640AAAAJ"
"bayesian thinking for toddlers","EJ Wagenmakers","PsyArXiv","",0,2020,NA,"Kqc1aDSOPooC","L_HG640AAAAJ"
"age related changes in perceptual decision making in children","C Manning, U Boehm, G Scerif, AM Norcia, EJ Wagenmakers","Journal of Vision","20 (11), 109-109",0,2020,NA,"WzTVkKNmPSkC","L_HG640AAAAJ"
"statistical dark arts endanger democracy and life  two scourges of the infodemic show how to spot quantitative chicanery  review of  ct bergstrom  jd west  2020  calling  ","EJ Wagenmakers","Nature","584",0,2020,NA,"wBLCggQE-ToC","L_HG640AAAAJ"
"bayesian scepsis about swepis  quantifying the evidence that early induction of labour prevents perinatal deaths","EJ Wagenmakers, A Ly","PsyArXiv","",0,2020,NA,"h168fVGZblEC","L_HG640AAAAJ"
"cultural consensus theory for the evaluation of patients  mental health scores in psychiatric detention centers","D van den Bergh, E Wagenmakers","","",0,2020,NA,"PuOEWVtPfzwC","L_HG640AAAAJ"
"hydroxychloroquine in patients with covid 19  chen et al   2020   absence of evidence  not evidence of absence","QF Gronau, EJ Wagenmakers","PsyArXiv","",0,2020,NA,"eH23hyXCXa4C","L_HG640AAAAJ"
"efficacy of hydroxychloroquine in patients with covid 19  chen et al   2020   moderate evidence for a treatment effect on pneumonia","EJ Wagenmakers, QF Gronau","PsyArXiv","",0,2020,NA,"XDrR66g3YHsC","L_HG640AAAAJ"
"a tutorial on conducting and interpreting a bayesian anova in jasp tutoriel pour réaliser et interpréter une analyse de variance bayésienne dans jasp","D van deBergh, J vanDoorn, M Marsman, T Draws, E Kesteren, K Derks, ...","Annee Psychologique","120 (1), 73-96",0,2020,NA,"q1zXlPLtbUIC","L_HG640AAAAJ"
"discussion on the meeting on  signs and sizes  understand ing and replicating statistical findings ","JL Hutton, PJ Diggle, SM Bird, C Hennig, N Longford, MB Mathur, ...","Journal of the Royal Statistical Society. Series A (Statistics in Society …","",0,2020,NA,"wyM6WWKXmoIC","L_HG640AAAAJ"
"a consensus based transparency checklist  vol 4  pg 4  2020 ","B Aczel, B Szaszi, A Sarafoglou, Z Kekecs, S Kucharsky, D Benjamin, ...","NATURE HUMAN BEHAVIOUR","4 (1), 120-120",0,2020,NA,"oynPyU19kbsC","L_HG640AAAAJ"
"cognitive psychometrics  recent contributions in honor of william h  batchelder  1940 2018 ","E Erdfelder, X Hu, JN Rouder, EJ Wagenmakers","Journal of Mathematical Psychology","99",0,2020,NA,"4n0clTBhZ78C","L_HG640AAAAJ"
"calling bullshit  the art of scepticism in a data driven world","EJ Wagenmakers","Nature","584 (7819), 36-36",0,2020,NA,"uUvzmPk0f8oC","L_HG640AAAAJ"
"het belang van brady versus maryland voor de psychologie","EJ Wagenmakers","De Psycholoog","54 (12), 24-28",0,2019,NA,"RMgMIBzvq-4C","L_HG640AAAAJ"
"prins op een missie  boekbespreking van  c  chambers  2018  de 7 doodzonden van de psychologie  pleidooi voor een cultuuromslag in de wetenschappelijke praktijk ","EJ Wagenmakers","De Psycholoog","54",0,2019,NA,"AFXcoJnoRH0C","L_HG640AAAAJ"
"het plagiaat van lord francis bacon","EJ Wagenmakers","Skepter","32",0,2019,NA,"BW2nPTmhBn4C","L_HG640AAAAJ"
"in addition to the associate editors  the following colleagues assisted in the peer review of manuscripts processed between november 2  2018 and december 31  2019 for european  ","A Adan, S Arthurs, L Baßfeld, C Berli, AL Brütt, A Clamor, A Decarli, ...","","",0,2019,NA,"rLGzs9wiiwIC","L_HG640AAAAJ"
"reponses to  retire statistical significance  ","JP Ioannidis, VE Johnson, JM Haaf, E Wagenmakers","","",0,2019,NA,"1r-w4gtu6w8C","L_HG640AAAAJ"
"another paradox  a comment on lindley  1997 ","F Dablander, D van den Bergh, EJ Wagenmakers","PsyArXiv","",0,2018,NA,"__bU50VfleQC","L_HG640AAAAJ"
"combine statistical thinking with open scientific practice  a protocol of a bayesian research project","A Sarafoglou, A van der Heijden, T Draws, J Cornelisse, ...","arXiv preprint arXiv:",":1810.07496",0,2018,NA,"NU-BerS4NX4C","L_HG640AAAAJ"
"combine statistical thinking with scientific practice  a protocol of a bayesian thesis project for undergraduate students","A Sarafoglou, A van der Heijden, T Draws, J Cornelisse, ...","arXiv e-prints, arXiv:","1810.07496",0,2018,NA,"L_l9e5I586QC","L_HG640AAAAJ"
"in vivo  likelihood  a halfway house ","EJ Wagenmakers","Computational Modeling of Cognition and Behaviour","103-104",0,2018,NA,"m4fbC6XIj1kC","L_HG640AAAAJ"
"parsimonious estimation of signal detection models from conﬁdence ratings","R Selker, D van den Bergh, AH Criss, EJ Wagenmakers","PsyArXiv","",0,2018,NA,"IsPWOBWtZBwC","L_HG640AAAAJ"
"questions and answers  reproducibility and a stricter threshold for statistical significance","D Benjamin, J Esarey, BB McShane, JL Tackett, EJ Wagenmakers","","",0,2017,NA,"a2necdfpwlEC","L_HG640AAAAJ"
"fixed or random ","B Scheibehenne, QF Gronau, T Jamil, EJ Wagenmakers","MetaArXiv","",0,2017,NA,"jtI9f0ekYq0C","L_HG640AAAAJ"
"  a purely confirmatory replication study of structural brain behavior correlations   corrigendum ","MC Keuken, A Ly, W Boekel, EJ Wagenmakers, L Belay, J Verhagen, ...","Elsevier Masson SAS","",0,2017,NA,"U_HPUtbDl20C","L_HG640AAAAJ"
"a constructive and efficient co pilot approach to data analysis","H Huizenga, D Sauter, H Slagter, A Homan, EJ Wagenmakers","","",0,2017,NA,"cBPnxVikjH8C","L_HG640AAAAJ"
"correction to  a bayesian bird s eye view of  replications of important results in social psychology ","M Marsman, FD Schönbrodt, RD Morey, Y Yao, A Gelman, ...","Royal Society Open Science","4 (3), 170085",0,2017,NA,"AXkvAH5U_nMC","L_HG640AAAAJ"
"interpreting nonsignificant findings in psychological research ","B Palfi, A Szollosi, B Szaszi, M Kovacs, M Zrubka, P Szecsi, B Aczel, ...","CogSci","",0,2017,NA,"BrOSOlqYqPUC","L_HG640AAAAJ"
"toward evidence based medicine  the use of bayes factors to evaluate the efficacy of antidepressants","R Monden, AM Roest, EJ Wagenmakers, D van Ravenzwaaij, R Morey, ...","Bipolar Disorders","18 (S1), 66-66",0,2016,NA,"cK4Rrx0J3m0C","L_HG640AAAAJ"
"preregistration  why  what  where ","EJ Wagenmakers, G Dutilh","Psychology Research Institute of the University of Amsterdam","",0,2016,NA,"DquSII9TDu4C","L_HG640AAAAJ"
"de verleidingen van foponderzoek","EJ Wagenmakers, V Busato","Skepter","29 (4), 24-28",0,2016,NA,"eAlLMO4JVmQC","L_HG640AAAAJ"
"review of  rb kline  2013  beyond significance testing  statistics reform in the behavioral sciences","EJ Wagenmakers","American Statistician","70 (2)",0,2016,NA,"8Xgff_V0N9gC","L_HG640AAAAJ"
"correction  data from 617 healthy participants performing the iowa gambling task  a  many labs  collaboration","H Steingroever, H Davis, DJ Fridberg, A Horstmann, KL Kjome, V Kumari, ...","Journal of Open Psychology Data","3 (1)",0,2015,NA,"artPoR2Yc-kC","L_HG640AAAAJ"
"supplement to  the fallacy of placing confidence in confidence intervals ","RD Morey, R Hoekstra, JN Rouder, MD Lee, EJ Wagenmakers","","",0,2015,NA,"PoWvk5oyLR8C","L_HG640AAAAJ"
"shortcuts in analysing hierarchical data may create spurious effects","U Böhm, M Marsman, D Matzke, D van Rijn, EJ Wagenmakers","","27th Annual Convention of the Association for Psychological Science",0,2015,NA,"AFmTUeZ1pmEC","L_HG640AAAAJ"
"articles in press  j neurophysiol  april 22  2015   doi  10 1152 jn  00088 2015","GE Hawkins, EJ Wagenmakers, R Ratcliff, SD Brown","","",0,2015,NA,"nPT8s1NX_-sC","L_HG640AAAAJ"
"three qualitative differences between bayes factors and normalized maximum likelihood","DW Heck, EJ Wagenmakers, RD Morey","arXiv preprint arXiv:",":1411.2778",0,2014,NA,"hQUaER0FWQ4C","L_HG640AAAAJ"
"inter individual differences in behavior and cognition predicted by local brain structure  a strictly confirmatory replication study","W Boekel, EJ Wagenmakers, L Belay, J Verhagen, S Brown, B Forstmann","Neuroradiology","33, 695-700",0,2014,NA,"sA9dB-pw3HoC","L_HG640AAAAJ"
"elementary catastrophe theory","EJ Wagenmakers, RPPP Grasman, HLJ van der Maas, PCM Molenaar","Wiley StatsRef: Statistics Reference Online","1-10",0,2014,NA,"vDZJ-YLwNdEC","L_HG640AAAAJ"
"comparing gausian means","R Wetzels, MD Lee, E Wagenmakers","Bayesian Cognitive Modeling: a practical course.","118-126",0,2014,NA,"4aZ_i-5WJEQC","L_HG640AAAAJ"
"the generalized contexts model","R Wetzels, MD Lee, E Wagenmakers","Bayesian Cognitive Modeling: a practical course.","213-224",0,2014,NA,"KWzIFqRkAKkC","L_HG640AAAAJ"
"an antidote to the imager s fallacy  or how to identify brain areas that are","G de Hollander, EJ Wagenmakers, L Waldorp, B Forstmann","","",0,2014,NA,"aIdbFUkbNIkC","L_HG640AAAAJ"
"bayesmed  default bayesian hypothesis tests for correlation  partial correlation  and mediation  r package version 1 0  0  ","MB Nuijten, R Wetzels, D Matzke, CV Dolan, EJ Wagenmakers","","",0,2014,NA,"5icHVeHT4IsC","L_HG640AAAAJ"
"default bayes factors for crossed random effects designs","J VERHAGEN, EJ Wagenmakers, R Morey","The joint meeting of the European Mathematical Psychology Group and the …","",0,2013,NA,"rqnDXT1GswoC","L_HG640AAAAJ"
"a comparison of reinforcement learning models for the iowa gambling task","E Wagenmakers, R Wetzels, H Steingroever","The Journal of Problem Solving","5",0,2013,NA,"htyGaKyDgHMC","L_HG640AAAAJ"
"the bart model of risk taking","D van Ravenzwaaij, MD Lee, EJ Wagenmakers","Bayesian cognitive modeling: A practical course","206-211",0,2013,NA,"yJjnfzR0HrkC","L_HG640AAAAJ"
"avoidance tendencies towards conditioned fear cues  a bayesian hierarchical diffusion model decomposition","AM Krypotos, T Beckers, EJ Wagenmakers","European Meeting on Human Fear Conditioning, Date:","2013/05/22-2013/05/24 …",0,2013,NA,"wMgC3FpKEyYC","L_HG640AAAAJ"
"spelregels in de psychologie  over eerlijk en goed onderzoek","M Bakker, EJ Wagenmakers, D Borsboom, J Wicherts, H van der Maas","De Psycholoog","48",0,2013,NA,"gsN89kCJA0AC","L_HG640AAAAJ"
"sjoemelwetenschap","EJ Wagenmakers","De Psycholoog","48",0,2013,NA,"tYavs44e6CUC","L_HG640AAAAJ"
"trial to trial fluctuations of strategic adjustments","L Van Maanen, S Brown, T Eichele, E Wagenmakers, B Forstmann","Conference Abstract: XI International Conference on Cognitive Neuroscience …","",0,2011,NA,"orDZ08hpP44C","L_HG640AAAAJ"
"universiteiten en subsidieverstrekkers moeten fraude aanpakken","D Borsboom, EJ Wagenmakers, RA Kievit, R Wetzels, H van den Berg, ...","De Volkskrant","",0,2011,NA,"yY3RG6sOEgwC","L_HG640AAAAJ"
"maatregel om fraude te bemoeilijken brengt enkel voordelen met zich mee","RA Kievit, D Borsboom, EJ Wagenmakers, JM Wicherts, R Wetzels, ...","De Volkskrant","",0,2011,NA,"ijdKiLOsEJMC","L_HG640AAAAJ"
"kleren voor de keizer  bespreking van  r  van de schoot  2010  informative hypotheses  how to move beyond classical null hypothesis testing ","EJ Wagenmakers","De Psycholoog","46",0,2011,NA,"owLR8QvbtFgC","L_HG640AAAAJ"
"hierarchical bayesian parameter estimation for models of decision under uncertainty ","H Nilsson, J Rieskamp, EJ Wagenmakers","The twenty-third bi-annual meeting of the European Association for Decision …","",0,2011,NA,"9pM33mqn1YgC","L_HG640AAAAJ"
"available online at www  sciencedirect  com","C DE LA COMUNICACIÓN, IO SECUNDUM","VALUE IN HEALTH","14, A535-A570",0,2011,NA,"nrtMV_XWKgEC","L_HG640AAAAJ"
"structural differences in cortico basal ganglia networks predict individual decision making behavior","BU Forstmann, A Anwander, A Schäfer, J Neumann, S Brown, ...","","16th Annual Meeting of the Organization for Human Brain Mapping (HBM)",0,2010,NA,"_axFR9aDTf0C","L_HG640AAAAJ"
"multiple choice perceptual decision making","M Keuken, L Van Maanen, S Brown, R Grasman, E Wagenmakers, ...","Front. Neurosci. Conference Abstract: Decision Neuroscience From Neurons to …","",0,2010,NA,"J3LtWjKFLicC","L_HG640AAAAJ"
"diffusion model decomposition of practice","EJ Wagenmakers, AM Krypotos, G Dutilh","Presentation at the","51th annual meeting of the Psychonomic Society, Location …",0,2010,NA,"JP7YXuLIOvAC","L_HG640AAAAJ"
"the neural substrate of prior information in perceptual decision making  a","BU Forstmann, S Brown, G Dutilh, J Neumann, EJ Wagenmakers","","",0,2010,NA,"hsZV8lGYWTMC","L_HG640AAAAJ"
"the neural substrate of decision making with prior information  empirical data and a formal model","BU Forstmann, S Brown, G Dutilh, J Neumann, EJ Wagenmakers","NeuroImage, S","S89",0,2009,NA,"bFI3QPDXJZMC","L_HG640AAAAJ"
"jensen ar  clocking the mind  mental chronometry and individual differences  elsevier  amsterdam  2006   isbn  0 08 044939 5  pp  xi  272 ","EJ Wagenmakers, H van der Maas","Intelligence","36 (5), 493-494",0,2008,NA,"0aBXIfxlw9sC","L_HG640AAAAJ"
"nomothetic and mechanistic perspectives on 1 f noise","K Torre, EJ Wagenmakers","JOURNAL OF SPORT & EXERCISE PSYCHOLOGY","30, S10-S11",0,2008,NA,"evX43VCCuoAC","L_HG640AAAAJ"
"mathematical modeling and functional neuroimaging show that the striatum facilitates decision making under time pressure","EJ Wagenmakers, B Forstmann","","",0,2008,NA,"b0M2c_1WBrUC","L_HG640AAAAJ"
"role of the basal ganglia in weighting speed versus accuracy  empirical data and a formal model","BU Forstmann, G Dutilh, J Neumann, KR Ridderinkhof, SW Brown, ...","","",0,2008,NA,"86PQX7AUzd4C","L_HG640AAAAJ"
"bayesian hypothesis testing for hierarchical models using transdimensional markov chain monte carlo methods","T Lodewyckx, MD Lee, EJ Wagenmakers","Annual meeting of the society for mathematical psychology, Date:","2008/07/26 …",0,2008,NA,"pyW8ca7W8N0C","L_HG640AAAAJ"
"current developments in the modeling of response times   accuracy","EJ Wagenmakers","","",0,2007,NA,"1sJd4Hv_s6UC","L_HG640AAAAJ"
"rescue the gardiner book   crispin gardiner  physics department  university of otago  dunedin  new zealand isbn 3 540 20882 8  2004  xvii  415pp    84 82  ","RPPP Grasman, EJ Wagenmakers","Journal of Mathematical Psychology","50 (4), 431-435",0,2006,NA,"abG-DnoFyZgC","L_HG640AAAAJ"
"a statistical perspective on the peculiar properties and pervasive problems of p values","EJ Wagenmakers","","",0,2006,NA,"ZHo1McVdvXMC","L_HG640AAAAJ"
"al nowaihi  ali  521","R Batley, L Beghi, BG Berg, U Bockenholt, SD Brown, M Brusco, ...","Journal of Mathematical Psychology","50, 587",0,2006,NA,"VLnqNzywnoUC","L_HG640AAAAJ"
"postscript  bayesian statistical inference in psychology  comment on trafimow  2003  ","MD Lee, EJ Wagenmakers","American Psychological Association","112 (3), 668",0,2005,NA,"Tiz5es2fbqcC","L_HG640AAAAJ"
"scale invariant stochastic catastrophe theory ","EJ Wagenmakers, HLJ van der Maas, P Hartelman, P Molenaar","JOURNAL OF MATHEMATICAL PSYCHOLOGY","49 (1), 108-108",0,2005,NA,"tzM49s52ZIMC","L_HG640AAAAJ"
"a psychometric analyses of chess expertise","HLJ van der Maas, EJ Wagenmakers","The American Journal of Psychology","118, 26-90",0,2005,NA,"CB2v5VPnA5kC","L_HG640AAAAJ"
"comment on  bayesian statistical inference in psychology  author s reply","MD LEE, EJ WAGENMAKERS, D TRAFIMOW","Psychological review","112 (3), 662-674",0,2005,NA,"CHSYGLWDkRkC","L_HG640AAAAJ"
"timothy c  rickard and daniel bajic  memory retrieval given two","BD Burns, EJ Wagenmakers, M Steyvers, JGW Raaijmakers, RM Shiffrin, ...","Cognitive Psychology","48 (3)",0,2004,NA,"-_dYPAW6P2MC","L_HG640AAAAJ"
"to the editors of biometrics  multiple letters ","EJ Wagenmakers, S Farrell, R Ratcliff, ST Buckland, KP Burnham, ...","Biometrics","60 (1), 281-283",0,2004,NA,"tKAzc9rXhukC","L_HG640AAAAJ"
"aslin  richard n   127","E Awh, D Bajic, DN Bub, CM Bukach, BD Burns, P Dassonville, ...","Cognitive Psychology","48, 489",0,2004,NA,"XD-gHx7UXLsC","L_HG640AAAAJ"
"theoretical and review articles","EJAN WAGENMAKERS, S FARRELL, R RATCLIFF","Psychonomic Bulletin & Review","11 (4), 579-615",0,2004,NA,"P5F9QuxV20EC","L_HG640AAAAJ"
"priming in implicit memory tasks  prior study causes enhanced dicriminality  not only bias","EJM Wagenmakers, JGW Raaijmakers","Journal of Experimental Psychology: General","131 (1), 38-47",0,2002,NA,"RfUwGJFMQ-0C","L_HG640AAAAJ"
"the oxford handbook of memory","EJ Wagenmakers","Acta Psychologica","106 (3), 329-331",0,2001,NA,"dshw04ExmUIC","L_HG640AAAAJ"
"what influence does noise have on dimension estimation ","MM Span, D Talsma, EJ Wagenmakers","JOURNAL OF PSYCHOPHYSIOLOGY","14 (4), 264-264",0,2000,NA,"_Re3VWB3Y0AC","L_HG640AAAAJ"
"a default bayesian hypothesis test for correlation using the savage dickey method ","MB Nuijten, R Wetzels, D Matzke, CV Dolan, EJ Wagenmakers","","",0,NA,NA,"vD2iS2Kej30C","L_HG640AAAAJ"
"making sense of uncertainty in the science classroom  a bayesian approach","JM Rosenberg, M Kubsch, EJ Wagenmakers, M Dogucu","","",0,NA,NA,"iKswqCX-FLkC","L_HG640AAAAJ"
"where wald and jeffreys meet a unified framework for sequential testing","A Stefan, F Schönbrodt, N Evans, EJ Wagenmakers","","",0,NA,NA,"QKtdBID3u5MC","L_HG640AAAAJ"
"same same but different  comparing the sequential probability ratio test and the sequential bayes factor test","A Stefan, F Schönbrodt, N Evans, EJ Wagenmakers","","",0,NA,NA,"Gb6Hms-Uo9kC","L_HG640AAAAJ"
"online appendix for  a cautionary note on estimating effect size ","D van den Bergh, JM Haaf, A Ly, JN Rouder, EJ Wagenmakers","","",0,NA,NA,"K4-iKlO5MD4C","L_HG640AAAAJ"
"bayesian mixture modeling of significant p values  a meta analytic method to estimate the degree of contamination from h0  supplemental material","QF Gronau, M Duizer, M Bakker, EJ Wagenmakers","","",0,NA,NA,"wuD5JclIwkYC","L_HG640AAAAJ"
